                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.95798,                 1.1548,                 1.6884,                0.83688,                0.97665,                 0.9728,                0.99233,                0.78584,                0.97494,                0.97093,                0.99026,                0.61848,                0.75219,                0.89199,                 0.5973,                0.80724,             0.00023762,             0.00023762,             0.00023762
                      1,                0.74636,                0.89981,                0.67004,                0.81325,                0.98741,                0.99067,                0.99448,                0.82987,                0.98525,                0.98851,                0.99323,                0.64029,                0.62799,                0.86668,                0.45881,                0.79443,             0.00047091,             0.00047091,             0.00047091
                      2,                0.65774,                0.80155,                0.54315,                0.80393,                0.99493,                0.99395,                0.99495,                0.84721,                0.99381,                0.99301,                0.99473,                 0.6864,                 0.5996,                0.78535,                0.41359,                0.78931,             0.00069949,             0.00069949,             0.00069949
                      3,                   0.63,                0.77251,                0.48334,                 0.8018,                0.99653,                 0.9979,                0.99499,                0.84682,                0.99555,                0.99692,                 0.9946,                 0.6731,                0.60079,                0.84646,                0.39182,                0.79104,             0.00069279,             0.00069279,             0.00069279
                      4,                 0.6056,                0.74656,                0.44038,                0.79748,                0.99843,                0.99866,                0.99498,                0.85864,                0.99666,                0.99689,                0.99476,                0.65086,                0.56706,                0.88265,                0.36083,                0.78649,             0.00069279,             0.00069279,             0.00069279
                      5,                0.59215,                0.73419,                0.41385,                0.79593,                 0.9985,                0.99798,                0.99498,                0.85298,                 0.9971,                0.99658,                0.99419,                0.66713,                0.58533,                0.80919,                0.35333,                0.78931,             0.00068573,             0.00068573,             0.00068573
                      6,                 0.5781,                0.71662,                0.39349,                0.79501,                0.99868,                0.99906,                  0.995,                0.86469,                0.99693,                0.99751,                0.99476,                0.66854,                0.55947,                0.79757,                0.34189,                 0.7852,             0.00067866,             0.00067866,             0.00067866
                      7,                0.56921,                0.70925,                0.37676,                0.79325,                0.99919,                0.99775,                  0.995,                0.88001,                0.99819,                0.99676,                0.99492,                 0.6976,                0.52066,                0.74004,                0.33047,                0.78094,             0.00067159,             0.00067159,             0.00067159
                      8,                0.56152,                0.69871,                 0.3645,                 0.7928,                0.99644,                0.99915,                0.99483,                0.87674,                0.99546,                0.99817,                0.99474,                0.69378,                0.53043,                 0.7641,                0.31807,                0.78321,             0.00066452,             0.00066452,             0.00066452
                      9,                0.54853,                0.68352,                0.35428,                0.79103,                0.99891,                 0.9986,                0.99499,                0.87544,                0.99763,                0.99719,                0.99491,                0.68477,                 0.5337,                 0.8131,                0.31673,                0.78282,             0.00065745,             0.00065745,             0.00065745
                     10,                0.54056,                0.67452,                0.34271,                0.78976,                0.99912,                0.99878,                  0.995,                0.88432,                 0.9981,                0.99769,                0.99491,                0.69347,                0.51169,                0.77461,                0.30566,                0.78076,             0.00065038,             0.00065038,             0.00065038
                     11,                0.53538,                0.67342,                0.33901,                0.78982,                0.99905,                0.99882,                  0.995,                0.86252,                0.99786,                0.99731,                0.99492,                0.65966,                0.57677,                0.82263,                0.32355,                0.78701,             0.00064331,             0.00064331,             0.00064331
